State,Total population,Median age (years),Percent with no bachelor degree or higher,Percent Never Married,Percent Disabled,Median family income (dollars),Percent Unemployed
Alabama,4779736,37.9,78.1,32.5,16.2,50429,11.7
Alaska,710231,33.8,72.1,35.5,10.9,76962,9.2
Arizona,6392017,35.9,74.1,35.3,11.2,55353,11.7
Arkansas,2915918,37.4,80.5,29.5,16.3,47049,9.5
California,37253956,35.2,69.9,39.8,9.9,65481,12.7
Colorado,5029196,36.1,63.6,34.4,10.1,67800,9.7
Connecticut,3574097,40,64.5,36.3,10.4,81246,10.4
Delaware,897934,38.8,72.2,35.3,12.3,68746,9.2
District of Columbia,601723,33.8,49.9,58.9,11.1,77514,12.3
Florida,18801310,40.7,74.2,33.9,12.8,53093,13.3
Georgia,9687653,35.3,72.7,35.4,11.7,55209,12.5
Hawaii,1360301,38.6,70.5,37.8,10.7,76134,7.7
Idaho,1567582,34.6,75.6,28.3,12.6,52342,10
Illinois,12830632,36.6,69.2,37.2,10.2,65417,11.4
Indiana,6483802,37,77.3,32.6,12.5,55368,10.8
Iowa,3046355,38.1,75.1,31.3,11.2,60917,6.7
Kansas,2853118,36,70.2,31.6,12.2,61013,7.9
Kentucky,4339367,38.1,79.5,30.8,16.8,50392,11
Louisiana,4533372,35.8,78.6,37,15.1,52456,10
Maine,1328361,42.7,73.2,31,15.1,58197,8.3
Maryland,5773552,38,63.9,36.8,10.2,83137,8.7
Massachusetts,6547629,39.1,61,38.7,10.8,78653,10.2
Michigan,9883640,38.9,74.8,34.9,13.6,56101,15
Minnesota,5303925,37.4,68.2,34.6,10,69625,8.3
Mississippi,2967297,36,80.5,34.9,16.3,45484,12.2
Missouri,5988927,37.9,74.4,32.1,13.8,56214,9.9
Montana,989415,39.8,71.2,30.5,12.8,54507,7.5
Nebraska,1826341,36.2,71.4,32.4,11.4,60812,6.5
Nevada,2700551,36.3,78.3,35,10.6,60192,14
New Hampshire,1316470,41.1,67.2,30.5,11.2,74634,7.8
New Jersey,8791894,39,64.6,36.4,9.7,82427,10.8
New Mexico,2059179,36.7,75,35.4,13.3,51020,9.4
New York,19378102,38,67.5,40.5,10.6,65897,9.8
North Carolina,9535483,37.4,73.5,33.3,13.2,52920,12.4
North Dakota,672591,37,72.4,35.8,10.4,65207,3.9
Ohio,11536504,38.8,75.4,33.5,13.3,56518,11.4
Oklahoma,3751351,36.2,77.1,30.7,15.7,51958,8.1
Oregon,3831074,38.4,71.2,32.6,13.8,56661,12.7
Pennsylvania,12702379,40.1,72.9,35.9,13.1,61890,9.6
Rhode Island,1052567,39.4,69.8,39.8,13.5,67814,10.8
South Carolina,4625364,37.9,75.5,35.2,13.9,51704,12.6
South Dakota,814180,36.9,73.7,33.5,11.3,59987,6
Tennessee,6346105,38,76.9,31.4,15.1,51083,11.2
Texas,25145561,33.6,74.1,34.6,11.6,56575,8.8
Utah,2763885,29.2,70.7,31.3,8.5,61618,9.3
Vermont,625741,41.5,66.4,34.2,13.2,62575,8.1
Virginia,8001024,37.5,65.8,34.2,10.8,72476,7.7
Washington,6724540,37.3,68.9,33.8,11.9,67328,10.6
West Virginia,1852994,41.3,82.5,30.3,18.9,48927,8.9
Wisconsin,5686986,38.5,73.7,34.1,10.8,62088,8.9
Wyoming,563626,36.8,75.9,29,11.8,65841,6.2
