State,Total population,Male,Female,Under 5 years,5 to 9 years,10 to 14 years,15 to 19 years,20 to 24 years,25 to 34 years,35 to 44 years,45 to 54 years,55 to 59 years,60 to 64 years,65 to 74 years,75 to 84 years,85 years and over,Median age (years),18 years and over,Male,Female,21 years and over,62 years and over,65 years and over,Male,Female,One race,White,Black or African American,American Indian and Alaska Native,Asian,Asian Indian,Chinese,Filipino,Japanese,Korean,Vietnamese,Other Asian [1],Native Hawaiian and Other Pacific Islander,Native Hawaiian,Guamanian or Chamorro,Samoan,Other Pacific Islander [2],Some other race,Two or more races,White,Black or African American,American Indian and Alaska Native,Asian,Native Hawaiian and Other Pacific Islander,Some other race,Total population,Hispanic or Latino (of any race),Mexican,Puerto Rican,Cuban,Other Hispanic or Latino,Not Hispanic or Latino,White alone,Total population,In households,Householder,Spouse,Child,Own child under 18 years,Other relatives,Under 18 years,Nonrelatives,Unmarried partner,In group quarters,Institutionalized population,Noninstitutionalized population,Total households,Family households (families),With own children under 18 years,Married-couple family,With own children under 18 years,"Female householder, no husband present",With own children under 18 years,Nonfamily households,Householder living alone,Householder 65 years and over,Households with individuals under 18 years,Households with individuals 65 years and over,Average household size,Average family size,Total housing units,Occupied housing units,Vacant housing units,"For seasonal, recreational, or occasional use",Homeowner vacancy rate (percent),Rental vacancy rate (percent),Occupied housing units,Owner-occupied housing units,Renter-occupied housing units,Average household size of owner-occupied unit,Average household size of renter-occupied unit
Alabama,4447100.00,2146504.00,2300596.00,295992.00,315345.00,320252.00,324580.00,306865.00,603015.00,685512.00,600209.00,225450.00,190082.00,316748.00,195749.00,67301.00,36.00,3323678.00,1570851.00,1752827.00,3124317.00,690914.00,579798.00,231486.00,348312.00,4402921.00,3162808.00,1155930.00,22430.00,31346.00,6900.00,6337.00,2727.00,1966.00,4116.00,4628.00,4672.00,1409.00,359.00,577.00,209.00,264.00,28998.00,44179.00,3199953.00,1168998.00,44449.00,39458.00,3169.00,38201.00,4447100.00,75830.00,44522.00,6322.00,2354.00,22632.00,4371270.00,3125819.00,4447100.00,4332380.00,1737080.00,906916.00,1302505.00,989799.00,240463.00,113123.00,145416.00,58537.00,114720.00,65363.00,49357.00,1737080.00,1215968.00,561458.00,906916.00,391185.00,246466.00,141057.00,521112.00,453898.00,169738.00,626857.00,418608.00,2.00,3.00,1963711.00,1737080.00,226631.00,47205.00,2.00,12.00,1737080.00,1258705.00,478375.00,3.00,2.00
Alaska,626932.00,324112.00,302820.00,47591.00,53771.00,56661.00,50094.00,39892.00,89473.00,114049.00,94952.00,27423.00,17327.00,22507.00,10558.00,2634.00,32.00,436215.00,226111.00,210104.00,410474.00,45300.00,35699.00,16724.00,18975.00,592786.00,434534.00,21787.00,98043.00,25116.00,723.00,1464.00,12712.00,1414.00,4573.00,814.00,3416.00,3309.00,695.00,227.00,1670.00,717.00,9997.00,34146.00,463999.00,27147.00,119241.00,32686.00,5515.00,15151.00,626932.00,25852.00,13334.00,2649.00,553.00,9316.00,601080.00,423788.00,626932.00,607583.00,221600.00,116318.00,206127.00,174113.00,24481.00,10808.00,39057.00,16568.00,19349.00,4824.00,14525.00,221600.00,152337.00,88484.00,116318.00,63245.00,23937.00,17243.00,69263.00,52060.00,8985.00,95129.00,26349.00,3.00,3.00,260978.00,221600.00,39378.00,21474.00,2.00,8.00,221600.00,138509.00,83091.00,3.00,2.00
Arizona,5130632.00,2561057.00,2569575.00,382386.00,389869.00,378211.00,367722.00,362860.00,742665.00,768804.00,627904.00,238675.00,203697.00,363841.00,235473.00,68525.00,34.00,3763685.00,1859746.00,1903939.00,3536279.00,787520.00,667839.00,296267.00,371572.00,4984106.00,3873611.00,158873.00,255879.00,92236.00,14741.00,21221.00,16176.00,7712.00,9123.00,12931.00,10332.00,6733.00,1985.00,1354.00,1197.00,2197.00,596774.00,146526.00,3998154.00,185599.00,292552.00,118672.00,13415.00,677392.00,5130632.00,1295617.00,1065578.00,17587.00,5272.00,207180.00,3835015.00,3274258.00,5130632.00,5020782.00,1901327.00,986303.00,1496034.00,1197438.00,319414.00,132782.00,317704.00,118196.00,109850.00,63768.00,46082.00,1901327.00,1287367.00,608218.00,986303.00,428878.00,210781.00,129511.00,613960.00,472006.00,162822.00,673926.00,465062.00,3.00,3.00,2189189.00,1901327.00,287862.00,141965.00,2.00,9.00,1901327.00,1293556.00,607771.00,3.00,3.00
Arkansas,2673400.00,1304693.00,1368707.00,181585.00,187224.00,192935.00,198765.00,181598.00,352845.00,398127.00,349519.00,139393.00,117390.00,198334.00,129193.00,46492.00,36.00,1993031.00,955418.00,1037613.00,1873359.00,442588.00,374019.00,154428.00,219591.00,2637656.00,2138598.00,418950.00,17808.00,20220.00,3104.00,3126.00,2489.00,1036.00,1550.00,3974.00,4941.00,1668.00,295.00,231.00,176.00,966.00,40412.00,35744.00,2170534.00,427152.00,37002.00,25401.00,3129.00,48267.00,2673400.00,86866.00,61204.00,2473.00,950.00,22239.00,2586534.00,2100135.00,2673400.00,2599492.00,1042696.00,566401.00,759757.00,601711.00,131635.00,62167.00,99003.00,40543.00,73908.00,45152.00,28756.00,1042696.00,732261.00,334604.00,566401.00,237174.00,126561.00,76774.00,310435.00,266585.00,108644.00,371331.00,263521.00,2.00,3.00,1173043.00,1042696.00,130347.00,29012.00,3.00,10.00,1042696.00,723535.00,319161.00,3.00,2.00
California,33871648.00,16874892.00,16996756.00,2486981.00,2725880.00,2570822.00,2450888.00,2381288.00,5229062.00,5485341.00,4331635.00,1467252.00,1146841.00,1887823.00,1282178.00,425657.00,33.00,24621819.00,12130354.00,12491465.00,23146248.00,4253854.00,3595658.00,1513874.00,2081784.00,32264002.00,20170059.00,2263882.00,333346.00,3697513.00,314819.00,980642.00,918678.00,288854.00,345882.00,447032.00,401606.00,116961.00,20571.00,20918.00,37498.00,37974.00,5682241.00,1607646.00,21490973.00,2513041.00,627562.00,4155685.00,221458.00,6575625.00,33871648.00,10966556.00,8455926.00,140570.00,72286.00,2297774.00,22905092.00,15816790.00,33871648.00,33051894.00,11502870.00,5877084.00,10519953.00,8035222.00,2848893.00,953557.00,2303094.00,683516.00,819754.00,413656.00,406098.00,11502870.00,7920049.00,4117036.00,5877084.00,2989974.00,1448510.00,834716.00,3582821.00,2708308.00,892207.00,4569910.00,2570170.00,3.00,3.00,12214549.00,11502870.00,711679.00,236857.00,1.00,4.00,11502870.00,6546334.00,4956536.00,3.00,3.00
Colorado,4301261.00,2165983.00,2135278.00,297505.00,308428.00,311497.00,307238.00,306238.00,664027.00,736823.00,614125.00,194722.00,144585.00,226310.00,141547.00,48216.00,34.00,3200466.00,1600273.00,1600193.00,3014312.00,498699.00,416073.00,176531.00,239542.00,4179074.00,3560005.00,165063.00,44241.00,95213.00,11720.00,15658.00,8941.00,11571.00,16395.00,15457.00,15471.00,4621.00,1435.00,1124.00,931.00,1131.00,309931.00,122187.00,3665638.00,190717.00,79689.00,120779.00,10153.00,364846.00,4301261.00,735601.00,450760.00,12993.00,3701.00,268147.00,3565660.00,3202880.00,4301261.00,4198306.00,1658238.00,858671.00,1217836.00,1004792.00,188318.00,70555.00,275243.00,91224.00,102955.00,52741.00,50214.00,1658238.00,1084461.00,543588.00,858671.00,404866.00,158979.00,102113.00,573777.00,435778.00,116235.00,585387.00,292763.00,3.00,3.00,1808037.00,1658238.00,149799.00,72263.00,1.00,6.00,1658238.00,1116137.00,542101.00,3.00,2.00
Connecticut,3405565.00,1649319.00,1756246.00,223344.00,244144.00,241587.00,216627.00,187571.00,451640.00,581049.00,480807.00,176961.00,131652.00,231565.00,174345.00,64273.00,37.00,2563877.00,1218230.00,1345647.00,2439461.00,545704.00,470183.00,190002.00,280181.00,3330717.00,2780355.00,309843.00,9639.00,82313.00,23662.00,19172.00,7643.00,4196.00,7064.00,7538.00,13038.00,1366.00,365.00,281.00,277.00,443.00,147201.00,74848.00,2835974.00,339078.00,24488.00,95368.00,4076.00,186234.00,3405565.00,320323.00,23484.00,194443.00,7101.00,95295.00,3085242.00,2638845.00,3405565.00,3297626.00,1301670.00,676467.00,1002981.00,772790.00,156013.00,52203.00,160495.00,68873.00,107939.00,55256.00,52683.00,1301670.00,881170.00,419285.00,676467.00,307126.00,157411.00,91114.00,420500.00,344224.00,132061.00,451411.00,326743.00,3.00,3.00,1385975.00,1301670.00,84305.00,23379.00,1.00,6.00,1301670.00,869729.00,431941.00,3.00,2.00
Delaware,783600.00,380541.00,403059.00,51531.00,55813.00,55274.00,55632.00,51665.00,108840.00,127601.00,103999.00,39320.00,32199.00,56415.00,34762.00,10549.00,36.00,589013.00,280643.00,308370.00,553669.00,120444.00,101726.00,42866.00,58860.00,770567.00,584773.00,150666.00,2731.00,16259.00,5280.00,4128.00,2018.00,614.00,1991.00,817.00,1411.00,283.00,41.00,89.00,35.00,118.00,15855.00,13033.00,594425.00,157152.00,6069.00,18944.00,671.00,20391.00,783600.00,37277.00,12986.00,14005.00,932.00,9354.00,746323.00,567973.00,783600.00,759017.00,298736.00,153136.00,223811.00,172150.00,39919.00,17469.00,43415.00,18298.00,24583.00,11510.00,13073.00,298736.00,204590.00,95175.00,153136.00,65535.00,38986.00,22975.00,94146.00,74639.00,27071.00,105833.00,71466.00,3.00,3.00,343072.00,298736.00,44336.00,25977.00,2.00,8.00,298736.00,216038.00,82698.00,3.00,2.00
District of Columbia,572059.00,269366.00,302693.00,32536.00,35385.00,30018.00,37867.00,51823.00,101762.00,87677.00,75310.00,27803.00,21980.00,35919.00,25004.00,8975.00,35.00,457067.00,211446.00,245621.00,425229.00,82342.00,69898.00,26543.00,43355.00,558613.00,176101.00,343312.00,1713.00,15189.00,2845.00,3734.00,2228.00,1117.00,1095.00,1903.00,2267.00,348.00,138.00,62.00,51.00,97.00,21950.00,13446.00,184309.00,350455.00,4775.00,17956.00,785.00,28627.00,572059.00,44953.00,5098.00,2328.00,1101.00,36426.00,527106.00,159178.00,572059.00,536497.00,248338.00,56631.00,129116.00,88899.00,50187.00,22097.00,52225.00,14886.00,35562.00,7964.00,27598.00,248338.00,114166.00,49104.00,56631.00,20741.00,47032.00,24561.00,134172.00,108744.00,24903.00,60987.00,53369.00,2.00,3.00,274845.00,248338.00,26507.00,2207.00,3.00,6.00,248338.00,101214.00,147124.00,2.00,2.00
Florida,15982378.00,7797715.00,8184663.00,945823.00,1031718.00,1057024.00,1014067.00,928310.00,2084100.00,2485247.00,2069479.00,821517.00,737496.00,1452176.00,1024134.00,331287.00,39.00,12336038.00,5926729.00,6409309.00,11736378.00,3245806.00,2807597.00,1216647.00,1590950.00,15606063.00,12465029.00,2335505.00,53541.00,266256.00,70740.00,46368.00,54310.00,10897.00,19139.00,33190.00,31612.00,8625.00,2131.00,2319.00,1232.00,2943.00,477107.00,376315.00,12734292.00,2471730.00,117880.00,333013.00,23998.00,697074.00,15982378.00,2682715.00,363925.00,482027.00,833120.00,1003643.00,13299663.00,10458509.00,15982378.00,15593433.00,6337929.00,3192266.00,4171924.00,3200461.00,954061.00,345104.00,937253.00,369622.00,388945.00,248350.00,140595.00,6337929.00,4210760.00,1779586.00,3192266.00,1215197.00,759000.00,437680.00,2127169.00,1687303.00,710025.00,1986554.00,1943478.00,2.00,3.00,7302947.00,6337929.00,965018.00,482944.00,2.00,9.00,6337929.00,4441799.00,1896130.00,2.00,2.00
