State,  Population 3 years and over enrolled in school,"    Nursery school, preschool",    Kindergarten,    Elementary school (grades 1-8),    High school (grades 9-12),    College or graduate school,  Population 25 years and over,    Less than 9th grade,"    9th to 12th grade, no diploma",    High school graduate (includes equivalency),"    Some college, no degree",    Associate degree,    Bachelor's degree,    Graduate or professional degree,    Percent high school graduate or higher,    Percent bachelor's degree or higher,  Population 15 years and over,    Never married,"    Now married, except separated",    Separated,    Widowed,      Female,    Divorced,      Female,  Grandparent living in household with one or more own grandchildren under 18 years,    Grandparent responsible for grandchildren,  Civilian population 18 years and over,    Civilian veterans,  Population 5 to 20 years,    With a disability,  Population 21 to 64 years,    With a disability,      Percent employed,    No disability,      Percent employed,  Population 65 years and over,    With a disability,  Population 5 years and over,    Same house in 1995,    Different house in the U.S. in 1995,      Same county,      Different county,        Same state,        Different state,    Elsewhere in 1995,NATIVITY AND PLACE OF BIRTH,  Total population,    Native,      Born in United States,        State of residence,        Different state,      Born outside United States,    Foreign born,      Entered 1990 to March 2000,      Naturalized citizen,      Not a citizen,  Total (excluding born at sea),    Europe,    Asia,    Africa,    Oceania,    Latin America,    Northern America,  Population 5 years and over,    English only,    Language other than English,      Speak English less than 'very well,      Spanish,"        Speak English less than ""very well""",      Other Indo-European languages,"        Speak English less than ""very well""",      Asian and Pacific Island languages,"        Speak English less than ""very well""",  Total population,  Total ancestries reported,    Arab,    Czech[1],    Danish,    Dutch,    English,    French (except Basque)[1],    French Canadian[1],    German,    Greek,    Hungarian,    Irish[1],    Italian,    Lithuanian,    Norwegian,    Polish,    Portuguese,    Russian,    Scotch-Irish,    Scottish,    Slovak,    Subsaharan African,    Swedish,    Swiss,    Ukrainian,    United States or American,    Welsh,    West Indian (excluding Hispanic groups),    Other ancestries
Alabama,1155504,74879,65888,525314,246148,243275,2887400,240333,473748,877216,591055,155440,351772,197836,75.3,19,3514199,839185,1953261,75988,274547,228690,371218,207157,100765,56369,3310446,447397,1018258,91434,2497522,579227,50.6,1918295,74.8,555405,275044,4152278,2384847,1718719,1026668,692051,365839,326212,48712,,4447100,4359328,4328395,3262053,1066342,30933,87772,46520,32200,55572,87767,18415,26235,3662,529,35574,3352,4152278,3989795,162483,63917,89729,40299,43812,11225,22122,10546,4447100,3553063,6730,5720,4461,41722,344735,65235,10378,254166,6481,3977,343254,56220,1600,13779,22979,1529,5379,88181,69037,1554,28867,13092,3607,1799,756375,15086,4923,1382197
Alaska,185760,10804,10078,91027,41548,32303,379556,15663,28619,105812,108442,27213,61196,32611,88.3,24.7,468861,133271,255682,9268,15990,12568,54650,28306,10423,5419,419320,71552,165698,11406,357706,55965,55.3,301741,75.7,34301,15849,579740,267958,299218,160335,138883,43321,95562,12564,,626932,589762,579549,238613,340936,10213,37170,14753,20011,17159,37170,7425,18826,369,997,6658,2895,579740,496982,82758,30842,16674,5801,12851,3667,22186,11659,626932,683232,836,3701,5743,11866,60360,20221,6684,104147,1576,2238,67906,17944,962,26439,13268,2128,7517,11811,15763,827,1742,16685,2534,1580,35646,5382,1217,236509
Arizona,1401840,81923,77930,624766,286122,331099,3256184,254696,364851,791904,859165,219356,493419,272793,81,23.5,3979336,1037532,2188689,73329,238896,188563,440890,247938,114990,52210,3747180,562916,1199960,95958,2813449,546773,56.9,2266676,74.2,653778,259521,4752724,2103907,2465835,1456345,1009490,213070,796420,182982,,5130632,4474449,4418767,1779492,2639275,55682,656183,317381,193944,462239,656183,71674,77450,8475,3156,469033,26395,4752724,3523487,1229237,539937,927395,435186,102004,26527,62204,28280,5130632,5397030,17223,30391,39482,83686,532153,147358,35050,799777,16501,23571,525997,224795,10143,106771,126665,11600,40616,79165,102879,8114,14504,94601,17531,10817,240392,38671,4671,2013906
Arkansas,675109,43353,37746,311515,154432,128063,1731200,162464,264985,590416,355329,69578,190427,98001,75.3,16.7,2111663,447067,1229643,40818,161058,133447,233077,127314,57895,33618,1987107,281714,612642,57733,1473716,345338,51.6,1128378,76.7,354606,173400,2492205,1327374,1131174,618239,512935,260835,252100,33657,,2673400,2599710,2585866,1707529,878337,13844,73690,40741,22055,51635,73690,10028,15846,1503,1165,43309,1839,2492205,2368450,123755,57709,82465,43535,22695,5332,15238,7865,2673400,2177085,2405,6541,4636,40428,211226,51177,8155,249657,2595,2309,255279,34674,1062,13046,18867,1472,3270,46580,35864,1136,12693,14562,4770,1295,424920,11003,2731,714732
California,10129990,547066,554361,4349867,2122098,2556598,21298900,2446324,2496419,4288452,4879336,1518403,3640157,2029809,76.8,26.6,26076163,7843907,13657201,642670,1457818,1179638,2474567,1457510,928290,294969,24501941,2569340,8172459,609271,19210794,3848497,54.9,15362297,73.1,3469810,1465593,31416629,15757539,14251432,9714481,4536951,3087987,1448964,1407658,,33871648,25007393,24633720,17019097,7614623,373673,8864255,3270746,3473266,5390989,8864188,696578,2918642,113255,67131,4926803,141779,31416629,19014873,12401756,6277779,8105505,4303949,1335332,453589,2709179,1438588,33871648,35569389,192887,118889,207030,417382,2521355,783576,148265,3332396,125284,133988,2622089,1450884,51406,436128,491325,330974,402480,410310,541890,24535,184921,459897,115485,83125,1140830,188414,63639,18590005
Colorado,1166004,79064,61749,503119,239240,282832,2776632,134348,228691,644360,667610,193868,599028,308727,86.9,32.7,3385369,912983,1883863,54674,160243,128765,373606,210957,66903,28524,3177044,446385,977264,72623,2550417,406742,61.9,2143675,81.2,398644,159289,4006285,1768678,2102892,919925,1182967,539147,643820,134715,,4301261,3931358,3875900,1766731,2109169,55458,369903,201072,116875,253028,369894,65274,72417,9763,3065,205691,13684,4006285,3402266,604019,267504,421670,202883,100148,26943,63745,32138,4301261,4783916,12588,36650,43216,86401,515058,142623,29464,948371,15566,18411,527506,201787,8690,109744,101190,7051,45945,89035,114216,6692,17766,118846,21002,10709,221463,42514,4693,1286719
Connecticut,910869,66689,49197,401109,189662,204212,2295617,132917,234739,653300,402741,150926,416751,304243,84,31.4,2696250,732266,1483688,42556,188033,152712,249707,147891,55489,18898,2557792,310069,735594,56185,1945424,327697,63.1,1617727,80.3,439935,162931,3184514,1852990,1227719,798818,428901,168078,260823,103805,,3405565,3035598,2922076,1940576,981500,113522,369967,144271,180267,189700,369961,141141,70156,9748,1388,128267,19261,3184514,2600601,583913,234799,268044,116538,251335,90355,47993,23246,3405565,4007839,14933,20621,13751,28403,349390,214047,109555,335692,27603,40836,565971,634364,32035,21693,284272,44695,66453,39841,66764,22982,18705,65003,9488,23457,110615,15629,52977,778064
Delaware,209979,14792,10813,89673,43294,51407,514658,25490,64046,161760,100614,33831,80376,48541,82.6,25,620661,169025,335163,12554,42976,34697,60943,35248,16689,7204,585855,84289,176733,15663,442886,79525,60.2,363361,79.8,97072,36606,732378,409776,305294,186942,118352,16891,101461,17308,,783600,738702,726794,378840,347954,11908,44898,21187,19052,25846,44898,9944,13497,2248,88,17508,1613,732378,662845,69533,28380,34690,17116,22584,6411,9359,4201,783600,829000,1766,2719,1585,10951,94638,16086,4230,112026,3480,3886,129886,72677,2780,3941,40636,1001,6139,11775,15041,2000,8024,6635,1761,5097,47484,7920,5279,209557
District of Columbia,157475,9409,7400,54474,26694,59498,384535,29803,55446,79169,59281,10599,69496,80741,77.8,39.1,474417,229806,141992,19746,36829,29420,46044,26944,16842,8183,454454,44484,112797,11288,349658,76412,52.8,273246,73.4,66478,28280,539658,269299,239960,126931,113029,0,113029,30399,,572059,498498,491363,224352,267011,7135,73561,37533,22050,51511,73555,12909,12503,9208,585,37079,1271,539658,449241,90417,38236,49461,25355,23721,5815,8974,4508,572059,524577,3120,1578,1047,2879,25214,6942,1431,27415,1893,2048,28207,12587,1156,2336,7910,682,8338,4185,6536,640,16000,3013,1153,1247,9919,2067,7861,337173
Florida,3933279,271313,212744,1716991,845406,886825,11024645,739222,1480726,3165748,2403135,773486,1573121,889207,79.9,22.3,12946990,3076457,7032798,309160,1026014,826317,1502561,851134,345949,147893,12283486,1875597,3264015,284514,8746066,1914507,58.3,6831559,74.9,2720127,1075545,15043603,7352091,7038906,3866184,3172722,1311950,1860772,652606,,15982378,13311550,12890489,5231906,7658583,421061,2670828,1030449,1207502,1463326,2670794,355427,231976,34495,4957,1943781,100158,15043603,11569739,3473864,1554865,2476528,1187335,755214,268263,164516,75990,15982378,16235413,78254,67135,44366,216038,1468576,445081,134514,1887557,76908,96885,1648296,1003977,38724,114687,429691,48974,201559,246580,294293,29714,90155,155010,35875,42754,1278586,91683,491783,5477758
